t_months,nn_output_unit_interval,true_sin4,period_months,phi_rad,phi_over_pi
9.878231859883236154e+00,3.317673762476885946e-01,8.331600390633136718e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.908256880733944172e+00,3.038251463711063027e-01,1.045294656500691047e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.938281901584653966e+00,1.657930606769424664e-01,1.295073504942353439e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.968306922435361983e+00,2.010855810239867425e-01,1.586537858275462046e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.998331943286071777e+00,3.590875116354108609e-01,1.923890179471047547e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.002835696413677979e+01,3.896967317717057733e-01,2.311485410609383142e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.005838198498748959e+01,2.837963545401571142e-01,2.753821923663582732e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.008840700583819761e+01,2.599210786753940461e-01,3.255532147520322130e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.011843202668890740e+01,1.999481836870457274e-01,3.821372887280291737e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.014845704753961542e+01,2.750346381195314382e-01,4.456215352414321165e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.017848206839032521e+01,2.948132855234995575e-01,5.165034910862173652e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.020850708924103323e+01,2.527559614278559463e-01,5.952900586638322673e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.023853211009174302e+01,1.640399415332315369e-01,6.824964318963520730e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.026855713094245104e+01,3.552270893966706367e-01,7.786450001360141482e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.029858215179316083e+01,3.840424276274346238e-01,8.842642319542527371e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.032860717264386885e+01,3.855702922682011646e-01,9.998875407293033452e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
