T_months,phi_rad,phi_over_pi,auc_true,auc_nn
6.428073117284320848e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.732594111918652535e-01,6.873154933669094468e-01
7.220809018385463407e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.684838959735451613e-01,7.100219914356808992e-01
8.111308307896870629e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.703851591135167931e-01,6.907242219075697687e-01
9.111627561154891364e-01,2.052728374217000162e+00,6.534037351632510093e-01,7.686313892598003461e-01,7.250328405937370713e-01
1.023531021899026339e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.657296922281867646e-01,6.730920529870563218e-01
1.149756995397735571e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.590235085628254108e-01,7.076441756208160516e-01
1.291549665014884107e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.771013312482637492e-01,7.014006821284438642e-01
1.450828778495939497e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.677084360185325584e-01,7.040935548047710935e-01
1.629750834620644406e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.653702006804855573e-01,7.046189762995092032e-01
1.830738280295367781e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.605531446315431099e-01,6.896264237769632599e-01
2.056512308348651619e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.664941368618207740e-01,7.123218131741749781e-01
2.310129700083159321e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.718210716003357508e-01,6.971897954809549436e-01
2.595024211399735936e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.637718588784236928e-01,7.292247304793568752e-01
2.915053062825175623e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.710359032264809676e-01,7.207365385304739247e-01
3.274549162877728570e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.659005230597352165e-01,7.205193126588819164e-01
3.678379771828632183e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.756900632092746939e-01,7.136259618802668347e-01
4.132012400115336881e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.561076223036733435e-01,7.159512215431307336e-01
4.641588833612779297e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.754884268179387252e-01,7.477114736334280476e-01
5.214008287999684299e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.773263051848929850e-01,7.403391897502994423e-01
5.857020818056667189e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.744349700233899014e-01,7.378914079746445864e-01
6.579332246575678944e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.735819360678214407e-01,7.424039557325974314e-01
7.390722033525778834e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.778107926251863757e-01,7.342996197287019466e-01
8.302175681319743816e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.868420492530492361e-01,7.590608019602044232e-01
9.326033468832198636e+00,2.052728374217000162e+00,6.534037351632510093e-01,7.820516913559227845e-01,7.348880525957325327e-01
1.047615752789665144e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.778673628349777047e-01,7.451354287088401973e-01
1.176811952434997899e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.633691461968389325e-01,7.385556411887882478e-01
1.321941148466028793e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.714636337566204149e-01,7.290896527671980598e-01
1.484968262254465010e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.699922482009552427e-01,7.404718403577477126e-01
1.668100537200059108e+01,2.052728374217000162e+00,6.534037351632510093e-01,7.782821176899340498e-01,7.405920753910999466e-01
