injected_period_months,phi_rad,bestfit_period_months,max_ls_power,global_pvalue_conditional,n_null_toys
3.351602650938841066e+01,2.631502027943000144e+00,1.668100537200059108e+01,7.373694335583986792e-01,8.955223880597015240e-01,2.000000000000000000e+02
3.351602650938841066e+01,2.635677408799999899e+00,1.668100537200059108e+01,6.904098354468060084e-01,1.492537313432835688e-01,2.000000000000000000e+02
3.351602650938841066e+01,2.838983169807999918e+00,1.484968262254465010e+01,7.505794512211919622e-01,4.975124378109452641e-03,2.000000000000000000e+02
3.351602650938841066e+01,2.912014714116000214e+00,1.668100537200059108e+01,7.200632362412326959e-01,9.850746268656715987e-01,2.000000000000000000e+02
3.351602650938841066e+01,3.020432623406000161e+00,1.484968262254465010e+01,7.321769201364517476e-01,1.691542288557214002e-01,2.000000000000000000e+02
3.764935806792467332e+01,0.000000000000000000e+00,1.668100537200059108e+01,6.918661131385923646e-01,9.751243781094527385e-01,2.000000000000000000e+02
3.764935806792467332e+01,9.577788161520000010e-01,1.873817422860383175e+01,7.440748083716643979e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.764935806792467332e+01,1.103696963161999944e+00,2.104904144512019570e+01,7.143950350425182227e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.764935806792467332e+01,1.117018429158999959e+00,1.873817422860383175e+01,6.907700579350045667e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.764935806792467332e+01,1.310960399647999930e+00,2.104904144512019570e+01,7.097523707153591266e-01,9.800995024875621686e-01,2.000000000000000000e+02
3.764935806792467332e+01,1.513298605096000005e+00,1.873817422860383175e+01,6.439675347613091905e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.764935806792467332e+01,1.570796326795000031e+00,1.873817422860383175e+01,6.671327670627016371e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.764935806792467332e+01,1.687631551731000101e+00,1.873817422860383175e+01,6.624893452439813979e-01,9.253731343283582156e-01,2.000000000000000000e+02
3.764935806792467332e+01,1.737337002562999944e+00,1.873817422860383175e+01,7.925468793972996195e-01,1.000000000000000000e+00,2.000000000000000000e+02
3.764935806792467332e+01,1.892154948508000034e+00,1.873817422860383175e+01,6.696936097743921845e-01,7.562189054726368154e-01,2.000000000000000000e+02
3.764935806792467332e+01,1.952756727841000073e+00,1.873817422860383175e+01,7.100919855932094071e-01,9.601990049751243372e-01,2.000000000000000000e+02
3.764935806792467332e+01,2.052728374217000162e+00,2.104904144512019570e+01,6.164666184654444825e-01,1.990049751243781057e-02,2.000000000000000000e+02
