T_months,phi_rad,phi_over_pi,mu95_learned,mu95_ti,mu95_ratio
3.764935806792467332e+01,9.577788161520000010e-01,3.048704659585889098e-01,3.665204350394208471e-02,4.780047823401840229e-02,7.667714813333759150e-01
4.229242874389498752e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.034050025901658731e-02,4.780047823401840229e-02,8.439350765806201693e-01
4.750810162102798273e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.398336222708191384e-02,4.780047823401840229e-02,9.201448155340851143e-01
5.336699231206306848e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.219305324525064044e-02,4.780047823401840229e-02,8.826910274555140878e-01
5.994842503189408944e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.023315961773087091e-02,4.780047823401840229e-02,8.416894789370107377e-01
6.734150657750821267e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.146504352440158470e-02,4.780047823401840229e-02,8.674608509437872206e-01
7.564633275546290747e+01,9.577788161520000010e-01,3.048704659585889098e-01,3.977710837323183285e-02,4.780047823401840229e-02,8.321487533763514133e-01
8.497534359086438371e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.067616804275249465e-02,4.780047823401840229e-02,8.509573448954383945e-01
9.545484566618337396e+01,9.577788161520000010e-01,3.048704659585889098e-01,4.147167278824268749e-02,4.780047823401840229e-02,8.675995370843033738e-01
1.072267222010323167e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.154839139989301156e-02,4.780047823401840229e-02,8.692045129022174521e-01
1.204503540258782408e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.468446670633736961e-02,4.780047823401840229e-02,9.348121265141768887e-01
1.353047774579806060e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.591499637787499477e-02,4.780047823401840229e-02,9.605551675254672128e-01
1.519911082952933157e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.675192356509971781e-02,4.780047823401840229e-02,9.780639293233586162e-01
1.707352647470690385e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.682503771101886869e-02,4.780047823401840229e-02,9.795934986628368479e-01
1.917910261672488730e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.699697780426023014e-02,4.780047823401840229e-02,9.831905357552188640e-01
2.154434690031884543e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.713112697144890284e-02,4.780047823401840229e-02,9.859969756098979632e-01
2.420128264794381039e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.784196517202052301e-02,4.780047823401840229e-02,1.000867918889828179e+00
2.718588242732940330e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.768118069799619219e-02,4.780047823401840229e-02,9.975042606176833804e-01
3.053855508833415797e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.727381796424310473e-02,4.780047823401840229e-02,9.889821129571777503e-01
3.430469286314919373e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.763109397400797779e-02,4.780047823401840229e-02,9.964564316871231675e-01
3.853528593710527161e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.790197895204076350e-02,4.780047823401840229e-02,1.002123424739088220e+00
4.328761281083056929e+02,9.577788161520000010e-01,3.048704659585889098e-01,4.691886190258495737e-02,4.780047823401840229e-02,9.815563282208750184e-01
