T_months,ratio_phi_0.000000pi,ratio_phi_0.304870pi,ratio_phi_0.351318pi,ratio_phi_0.355558pi,ratio_phi_0.417292pi,ratio_phi_0.481698pi,ratio_phi_0.500000pi,ratio_phi_0.537190pi,ratio_phi_0.553012pi,ratio_phi_0.602292pi,ratio_phi_0.621582pi,ratio_phi_0.653404pi,ratio_phi_0.770314pi,ratio_phi_0.799848pi,ratio_phi_0.808087pi,ratio_phi_0.837633pi,ratio_phi_0.838962pi,ratio_phi_0.903676pi,ratio_phi_0.926923pi,ratio_phi_0.961434pi,ratio_phi_avg,time_independent
1.629750834620644406e+00,8.603943826985690491e-01,8.262090706529454653e-01,8.320334311174514275e-01,8.456937538089701611e-01,8.349524210340049102e-01,8.933139287471627554e-01,8.816139646535121610e-01,8.299186199247032825e-01,8.449318112348188636e-01,8.291218536615362344e-01,8.442396321437822815e-01,8.840338418089623840e-01,8.177407559082111588e-01,8.403188809188301134e-01,8.498252203017674367e-01,8.346992347718578120e-01,8.297965155207289722e-01,8.831963432675516978e-01,8.472953001703712461e-01,8.563429927710531908e-01,8.482835977558396134e-01,1.000000000000000000e+00
1.830738280295367781e+00,8.928712978064852201e-01,8.883018922127658978e-01,8.493517263553719276e-01,8.915486014522934211e-01,8.310186257408377353e-01,8.548812948964202851e-01,8.352504352277055899e-01,8.541987929616120523e-01,8.170277468265565446e-01,8.804718833283977641e-01,8.989736761554391054e-01,8.530877390571521834e-01,8.341441417633833622e-01,8.679319400491950498e-01,8.698595687273635857e-01,8.216401479488645299e-01,8.041511830588499166e-01,8.953908023721970366e-01,8.258649102019292032e-01,8.547235567556252800e-01,8.560344981449222734e-01,1.000000000000000000e+00
2.056512308348651619e+00,8.740313686260823278e-01,8.325440240999160135e-01,8.366286016716952822e-01,8.479957350093538793e-01,8.644807911160469205e-01,8.803797583057025866e-01,8.426536989603663486e-01,8.319539196564238459e-01,8.744697823832053851e-01,8.649423588848839106e-01,8.623255665522587821e-01,8.313234097910802145e-01,8.352670208502009919e-01,8.323463889282483041e-01,8.763712780224025556e-01,8.512028447236741346e-01,8.301594884660318252e-01,8.505760661824289803e-01,8.520442981549009032e-01,8.770692278721596846e-01,8.524382814128532715e-01,1.000000000000000000e+00
2.310129700083159321e+00,8.489157078186209127e-01,8.854481575911503644e-01,8.291468169274457400e-01,8.381805797097934274e-01,8.428654892881092264e-01,8.243080337112964617e-01,8.803832382114362698e-01,8.533855569508921324e-01,8.908558355287413688e-01,8.243174677319856647e-01,8.316751421778136866e-01,8.375016987087323672e-01,8.325877429781163297e-01,8.189400757953817500e-01,8.209842534633368105e-01,8.294679053187015150e-01,8.424907233732054079e-01,8.542766758512804204e-01,8.470537258426698024e-01,8.362428561323081988e-01,8.434513841555508762e-01,1.000000000000000000e+00
2.595024211399735936e+00,8.454112903359116693e-01,8.642488611321899050e-01,8.406488943688179560e-01,8.299294657985785140e-01,8.675448374527376938e-01,8.191320214520265708e-01,8.254307358030296138e-01,8.211057424536254423e-01,8.308203813329676501e-01,8.486466299479978881e-01,8.276474178415983429e-01,8.258921510149027645e-01,8.078083818328393173e-01,8.745376792004140309e-01,8.713680989443916003e-01,8.413351673768393324e-01,8.290881805688636863e-01,8.038901171596160022e-01,8.231900089898269712e-01,8.164028791013104858e-01,8.357039471054242830e-01,1.000000000000000000e+00
2.915053062825175623e+00,8.439969120067605246e-01,8.460793705480595950e-01,8.228251351950925940e-01,8.731703883597888849e-01,8.263519479235443832e-01,8.364913375483848945e-01,8.332774826897406673e-01,8.335560319652808303e-01,8.361572871914694227e-01,8.271805462749477478e-01,8.344064060890395984e-01,8.306684924645085788e-01,8.475940107785009392e-01,8.598827031404046028e-01,8.907261105707227067e-01,8.578323198373498659e-01,8.335871773636127635e-01,8.314259831456806138e-01,8.724884382147499728e-01,8.441001254314511870e-01,8.440899103369545742e-01,1.000000000000000000e+00
3.274549162877728570e+00,8.287175533420931828e-01,8.744100602178367376e-01,8.256522627979934192e-01,8.416034019288425316e-01,8.537021481078689300e-01,8.319071147754603102e-01,8.476202117502056321e-01,8.597855154678708534e-01,8.448980308503454273e-01,8.121702737673566208e-01,8.241853804994078159e-01,8.350805697753874712e-01,8.265644247208808748e-01,8.654026668434481318e-01,8.263216911487530902e-01,8.206327245911000379e-01,8.442201207124453433e-01,8.671477195951166062e-01,8.344911234618694884e-01,8.404041596505447131e-01,8.402458577002412943e-01,1.000000000000000000e+00
3.678379771828632183e+00,8.291499718653193574e-01,8.566824452801996559e-01,8.725056711242363816e-01,8.677100140602418410e-01,8.278931772745273809e-01,8.722759988829226208e-01,8.726703160611781751e-01,8.676576660172358180e-01,8.582717508046763255e-01,8.642381280595263782e-01,8.360260041905301920e-01,8.466684927233382174e-01,8.056888415350991206e-01,8.338772810832308924e-01,8.240126600661561440e-01,8.216754158286422305e-01,8.562120369950896315e-01,8.293390213006748279e-01,8.196170793432494550e-01,8.268230830084422056e-01,8.444497527752258259e-01,1.000000000000000000e+00
4.132012400115336881e+00,8.347905634614444237e-01,8.355547254021825632e-01,8.542421824456343238e-01,8.355735362504703723e-01,8.273881253957707793e-01,8.749884701291807954e-01,8.297151836504965683e-01,8.254719037633408973e-01,8.669628240400368835e-01,8.705592063266933689e-01,8.294013183351666152e-01,8.227777014209712858e-01,8.453500855947040371e-01,8.152983180868637048e-01,8.165908640362196103e-01,8.161727300070255042e-01,8.277619757955463342e-01,8.610187592301461468e-01,8.292357553268194792e-01,8.092049989735281557e-01,8.364029613836121424e-01,1.000000000000000000e+00
4.641588833612779297e+00,8.362943921869483432e-01,8.555455290118972878e-01,8.730071136358253936e-01,8.543269590077764430e-01,8.554846355129044344e-01,8.353397966569861000e-01,8.748104531471946332e-01,8.537506801172372040e-01,8.503155951716557803e-01,8.266771326567452505e-01,8.258976052242772425e-01,8.443060390485420674e-01,8.368479635752337220e-01,8.377479582171475370e-01,8.348416594299181703e-01,8.316191231655629679e-01,8.371828031581048934e-01,8.420154247274349579e-01,8.364026487342141047e-01,8.386358900293970908e-01,8.440524701207501312e-01,1.000000000000000000e+00
